Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
0,4.80E-04,-1.04E-07
0,0.0013153,-8.40E-08
0,0.0028302,1.60E-07
0,0.0056939,7.16E-07
0,0.011081,-1.01E-06
0,0.017985,1.68E-06
0,0.024871,2.36E-06
0,0.030407,-3.67E-06
0,-0.032468,-5.73E-05
0,-0.028749,-4.00E-06
0,-0.018616,9.82E-07
8.19E-09,-0.0062889,6.79E-06
1.09E-08,0.0049115,1.39E-05
1.88E-08,0.014998,2.21E-05
6.70E-09,0.021771,1.47E-04
5.67E-09,-0.018757,2.79E-05
0,-0.0076555,2.28E-05
-5.75E-09,0.0046881,2.62E-05
-1.22E-08,0.013997,3.45E-05
-1.56E-08,-0.017418,7.69E-05
-1.93E-08,-0.0082721,4.48E-05
-1.78E-08,0.0037293,1.10E-04
-1.15E-08,0.012645,3.00E-04
0,-0.011414,2.52E-04
4.41E-08,-3.44E-04,1.05E-04
5.60E-08,0.0096761,8.02E-05
4.91E-08,-0.010183,1.04E-04
-7.99E-09,0.0022323,1.05E-04
-1.22E-08,0.0079974,0.0024575
2.26E-08,-0.0033752,1.55E-04
-2.50E-08,0.0067263,1.89E-04
-1.25E-08,-0.0083767,2.71E-04
-5.56E-08,0.0013887,9.45E-05
-8.12E-08,-0.0068032,0.0011811
-3.81E-08,-0.0011816,6.18E-05
-5.65E-08,0.0064505,1.57E-04
-6.07E-08,-0.0046473,7.61E-05
-9.04E-08,0.004293,-2.02E-05
-9.54E-08,-0.0063321,1.23E-05
-1.37E-08,0.0018702,-6.31E-05
-6.28E-09,0.0077488,-4.09E-04
1.59E-08,-0.004211,-1.18E-06
3.11E-08,0.0020655,3.13E-05
5.87E-08,0.0047565,3.14E-04
6.82E-08,-0.0018077,7.61E-06
8.04E-08,0.0029614,2.66E-05
8.98E-08,-0.0041061,2.63E-04
8.76E-08,-0.0033362,1.39E-04
,,
9.57E-08,-6.17E-04,6.19E-05
1.07E-07,0.0021177,3.70E-04
1.07E-07,1.43E-04,1.03E-04
1.02E-07,0.0034913,3.03E-04
1.04E-07,-0.0037763,9.68E-04
1.14E-07,-0.0018663,1.17E-04
1.23E-07,0.002019,1.27E-04
1.28E-07,0.005287,2.02E-04
1.32E-07,-0.0036622,8.91E-05
9.68E-08,0.0029515,1.07E-04
7.81E-08,0.0077558,4.63E-04
9.02E-08,-0.0047621,1.00E-04
1.13E-07,0.0016188,8.61E-05
1.09E-07,0.0052385,1.63E-04
1.08E-07,-0.0044161,6.16E-05
1.02E-07,0.0012603,-1.69E-05
1.11E-07,0.0073556,-1.62E-06
1.15E-07,-0.0086107,-9.75E-06
1.03E-07,-0.0050775,2.43E-05
1.03E-07,6.90E-04,2.66E-05
1.14E-07,0.0061376,1.42E-05
1.13E-07,-0.0069728,1.88E-05
1.11E-07,-0.003233,7.33E-06
1.13E-07,0.0016242,3.32E-05
1.13E-07,0.0068206,-6.81E-06
1.13E-07,0.010886,-1.66E-04
1.09E-07,-0.010139,-9.90E-05
1.13E-07,-0.004161,-6.19E-05
1.01E-07,0.0045019,-6.91E-05
1.10E-07,0.010091,-2.02E-04
1.09E-07,-0.0083773,-8.44E-05
1.05E-07,-0.0034491,-5.14E-05
9.41E-08,5.45E-04,-3.36E-05
9.90E-08,0.0033986,-5.06E-05
1.00E-07,0.0023518,-0.0038369
1.00E-07,-0.0031925,-3.74E-05
9.19E-08,9.12E-04,-3.62E-05
9.26E-08,0.0057522,-1.94E-05
9.13E-08,0.0077946,-4.57E-04
9.14E-08,-0.0058799,-4.87E-05
8.64E-08,-0.0015351,-1.95E-05
8.67E-08,0.0030544,-4.35E-05
8.43E-08,0.0065667,-8.88E-05
8.24E-08,0.0084763,-1.34E-04
8.31E-08,-0.0078847,-7.67E-05
8.49E-08,-0.004053,-2.32E-05
8.64E-08,6.46E-04,-1.43E-05
8.50E-08,0.0033233,-2.02E-05
8.47E-08,-0.003385,-5.04E-05
8.43E-08,-7.52E-04,-4.12E-05
8.69E-08,0.0033366,-2.49E-05
8.68E-08,0.0075172,-2.66E-05
8.84E-08,0.010525,-8.83E-05
8.76E-08,-0.010376,-6.71E-05
8.23E-08,-0.0069987,-1.82E-05
8.25E-08,-0.0017511,-2.01E-05
8.02E-08,0.0027339,-3.08E-05
8.07E-08,0.0056208,-6.08E-05
7.96E-08,-0.0065451,-1.83E-04
7.93E-08,-0.0045289,-2.20E-05
8.25E-08,-0.0015558,-2.59E-05
7.94E-08,0.0018772,-1.70E-05
7.92E-08,0.0062652,-3.63E-05
8.21E-08,0.010094,-6.01E-05
8.26E-08,0.012222,-2.01E-04
8.30E-08,-0.012272,-2.41E-04
8.40E-08,-0.0096882,-2.51E-05
8.21E-08,-0.0053408,-2.36E-05
8.15E-08,-1.68E-04,-1.88E-05
8.02E-08,0.005168,-1.89E-05
7.99E-08,0.0080691,5.26E-06
7.96E-08,-0.0080787,2.77E-05
8.03E-08,-0.0060954,2.19E-05
7.94E-08,-0.0025954,2.59E-05
7.70E-08,0.0012996,2.62E-05
7.60E-08,0.0045508,3.21E-05
7.70E-08,0.0067716,6.78E-05
7.64E-08,0.0075365,6.74E-04
7.63E-08,-0.0074032,1.85E-04
7.69E-08,-0.0061851,4.96E-05
7.65E-08,-0.0042794,4.15E-05
,,
7.65E-08,-0.0041925,4.12E-05
7.65E-08,-0.0040635,4.01E-05
7.65E-08,-0.003867,3.92E-05
7.65E-08,-0.0035723,3.67E-05
7.65E-08,-0.0031288,3.45E-05
7.66E-08,-0.0024681,3.19E-05
7.65E-08,-0.0015445,2.71E-05
7.65E-08,-4.72E-04,2.37E-05
7.64E-08,2.85E-04,-2.95E-05
7.70E-08,0.001719,-2.86E-05
7.75E-08,0.0025362,-3.72E-05
7.76E-08,0.0035288,-4.30E-05
7.78E-08,0.003731,-1.60E-04
7.79E-08,0.0039832,-9.04E-05
7.78E-08,-0.0039526,-1.62E-04
7.78E-08,-0.0039558,3.87E-06
7.79E-08,-0.0031659,-9.72E-06
7.82E-08,-0.0020418,-2.44E-06
7.82E-08,-0.0014422,1.82E-05
7.82E-08,0.0012574,6.90E-05
7.83E-08,0.0017739,1.36E-05
7.82E-08,0.0023591,7.15E-06
7.83E-08,0.0028897,3.70E-05
7.83E-08,-0.0027572,1.63E-04
7.84E-08,0.0029908,-3.30E-05
7.84E-08,0.0038927,-3.71E-05
7.84E-08,0.005185,-4.32E-05
7.81E-08,0.0070338,-4.60E-05
7.84E-08,0.0090681,-5.50E-05
7.83E-08,0.01044,-9.16E-05
7.84E-08,0.011071,-1.40E-04
7.85E-08,0.011711,-1.38E-04
7.85E-08,0.012135,-3.94E-04
7.85E-08,-0.012002,-1.49E-04
7.85E-08,-0.011254,-4.93E-05
7.88E-08,-0.0097239,-3.01E-05
7.90E-08,-0.0079071,-2.46E-05
7.93E-08,-0.0062015,-2.11E-05
7.90E-08,-0.0038245,-1.87E-05
7.88E-08,-0.001912,-1.50E-05
7.88E-08,-7.29E-04,-1.22E-05
7.89E-08,-2.26E-05,-1.26E-05
7.89E-08,1.87E-04,-4.08E-05
7.89E-08,-1.77E-05,4.82E-06
7.89E-08,9.02E-04,2.82E-06
7.89E-08,0.0021988,-7.05E-07
7.87E-08,0.0038155,-2.76E-06
7.88E-08,0.0055928,-6.49E-06
7.88E-08,0.0075351,-8.10E-06
7.88E-08,0.0092506,-6.11E-06
7.88E-08,0.010681,-4.52E-06
7.88E-08,0.011888,-5.83E-06
7.89E-08,0.013003,-9.32E-06
7.89E-08,0.014104,-9.52E-06
7.90E-08,0.0149,-7.68E-06
7.90E-08,0.015532,-1.02E-05
7.90E-08,0.016038,-1.02E-05
7.90E-08,0.016385,-1.54E-05
7.90E-08,0.016906,-2.47E-05
